|class|order|family|genus|species|pollen unit|dispersal unit and peculiarities|size (pollen unit)|pollen class|polarity|shape|outline in polar view|shape (dry pollen)|outline in polar view (dry pollen)|infoldings (dry pollen)|aperture number|aperture type|aperture condition|aperture peculiarities|ornamentation LM|nexine|sexine|ornamentation SEM|tectum|infratectum|foot layer|endexine|intine|wall peculiarities|pollen coatings|reserves in cytoplasm|cell number|Ubisch bodies|how many figures?
0|Angiospermae|Asterales|Asteraceae|Taraxacum|Taraxacum officinale|monad|monad|medium-sized (26-50 µm)|lophate|isopolar|spheroidal|circular|spheroidal|circular|no suitable term|3|colporus|colporate, tricolporate|-|echinate|-|-|echinate, perforate|eutectate|alveolate|continuous|compact-continuous|monolayered|internal tectum|pollenkitt|starch|3-celled|absent|4
0|Angiospermae|Asparagales|Asparagaceae|Asparagus|Asparagus officinalis|monad|monad|medium-sized (26-50 µm)|sulcate|heteropolar|spheroidal|circular|boat-shaped|elliptic|aperture(s) sunken|1|sulcus|sulcate|-|psilate|-|-|microreticulate, perforate|eutectate|columellate|continuous|absent|monolayered|-|pollenkitt|lipids|2-celled|present|1
0|Angiospermae|Asparagales|Asparagaceae|Muscari|Muscari azureum|monad|monad|medium-sized (26-50 µm)|sulcate|heteropolar|spheroidal|circular|boat-shaped|elliptic|aperture(s) sunken|1|sulcus|sulcate|-|reticulate|-|-|reticulate, heterobrochate|semitectate|columellate|continuous|absent|monolayered|-|pollenkitt|lipids|2-celled|present|2
0|Angiospermae|Asparagales|Asparagaceae|Muscari|Muscari neglectum|monad|monad|medium-sized (26-50 µm)|sulcate|heteropolar|spheroidal|circular|boat-shaped|elliptic|aperture(s) sunken|1|sulcus|sulcate|-|reticulate|-|-|reticulate, perforate|semitectate|columellate|continuous|absent|monolayered|-|pollenkitt|lipids|2-celled|present|2
0|Angiospermae|Asparagales|Asparagaceae|Ornithogalum|Ornithogalum boucheanum|monad|monad|large (51-100 µm)|sulcate|heteropolar|spheroidal|circular|boat-shaped|elliptic|aperture(s) sunken|1|sulcus|sulcate|-|scabrate|-|-|foveolate, perforate|eutectate|columellate|discontinuous|absent|monolayered|-|pollenkitt|lipids|2-celled|absent|1
0|Angiospermae|Asparagales|Asparagaceae|Ornithogalum|Ornithogalum nutans|monad|monad|large (51-100 µm)|sulcate|heteropolar|spheroidal|circular|boat-shaped|-|aperture(s) sunken|1|sulcus|sulcate|-|reticulate|-|-|microreticulate|semitectate|columellate|discontinuous|absent|monolayered|-|pollenkitt|-|2-celled|absent|2
0|Angiospermae|Asparagales|Asparagaceae|Ornithogalum|Ornithogalum umbellatum|monad|monad|large (51-100 µm)|sulcate|heteropolar|spheroidal|circular|boat-shaped|elliptic|aperture(s) sunken|1|sulcus|sulcate|-|reticulate|-|-|foveolate, perforate|semitectate|columellate|discontinuous|absent|monolayered|-|pollenkitt|lipids|2-celled|absent|1
0|Angiospermae|Asparagales|Asparagaceae|Polygonatum|Polygonatum latifolium|monad|monad|large (51-100 µm)|sulcate|heteropolar|spheroidal|circular|boat-shaped|elliptic|aperture(s) sunken|1|sulcus|sulcate|aperture membrane ornamented|psilate|-|-|perforate|eutectate|columellate|continuous|absent|monolayered|-|pollenkitt|lipids|2-celled|present|1
0|Angiospermae|Asparagales|Asparagaceae|Ruscus|Ruscus hypoglossum|monad|monad|medium-sized (26-50 µm)|sulcate|heteropolar|oblate|elliptic|boat-shaped|-|aperture(s) sunken|1|sulcus|sulcate|-|psilate|-|-|perforate|eutectate|columellate|continuous|absent|monolayered|-|pollenkitt|lipids|2-celled|absent|1
0|Angiospermae|Asparagales|Asparagaceae|Scilla|Scilla bifolia|monad|monad|medium-sized (26-50 µm)|sulcate|heteropolar|oblate|elliptic|boat-shaped|elliptic|aperture(s) sunken|1|sulcus|sulcate|-|reticulate|-|-|reticulate, perforate|semitectate|columellate|discontinuous|absent|monolayered|-|pollenkitt|lipids|2-celled|present|2
0|Angiospermae|Asparagales|Asparagaceae|Scilla|Scilla drunensis|monad|monad|large (51-100 µm)|sulcate|heteropolar|oblate|elliptic|boat-shaped|elliptic|aperture(s) sunken|1|sulcus|sulcate|-|reticulate|-|-|reticulate, perforate|semitectate|columellate|discontinuous|absent|monolayered|-|pollenkitt|lipids|2-celled|present|2
